대학이름,주소,창립일
서울대학교,서울특별시 관악구 관악로 1,1946-10-15
KAIST,대전광역시 유성구 대학로 291,1971-02-16
성균관대학교,서울특별시 종로구 성균관로 25-2,1398년
연세대학교,서울특별시 서대문구 연세로 50,1885-4-10
UNIST,울산광역시 울주군 언양읍 유니스트길 50,2007-09-03
포항공과대학교,경상북도 포항시 남구 청암로 77,1986-12-03
고려대학교,서울특별시 성북구 안암로 145,1905-05-05
경희대학교,서울특별시 동대문구 경희대로 26,1949년 5월
세종대학교,서울특별시 광진구 능동로 209,1940년 5월
한양대학교,서울특별시 성동구 왕십리로 222,1939년 7월
GIST,광주광역시 북구 첨단과기로 123,1993-11-17
아주대학교,경기도 수원시 영통구 월드컵로 206,1973년
중앙대학교,서울특별시 동작구 흑석로 84,1916년
이화여자대학교,서울특별시 서대문구 이화여대길 52,1886년
건국대학교,서울특별시 광진구 능동로 120,1946-05-15
경북대학교,대구광역시 북구 대학로 80,1946년 9월
울산대학교,울산광역시 남구 대학로 93,1969-12-24
부산대학교,부산광역시 금정구 부산대학로63번길 2,1946-05-15
영남대학교,경상북도 경산시 대학로 280,1947년
가톨릭대학교,서울특별시 종로구 창경궁로 296-12,1855년
